Date,ETF_Ticker,Stock_Ticker,Company_Name,Shares,Weight
2026-09-15,BLOK,3350 JP,Metaplanet Inc,10133297.0,1.48
2026-09-15,BLOK,8473 JP,SBI Holdings Inc,1500777.0,2.95
2026-09-15,BLOK,AGPXX,Invesco Government & Agency Portfolio 12/31/2031,1946503.0,0.18
2026-09-15,BLOK,AMD,Advanced Micro Devices Inc,66078.0,2.97
2026-09-15,BLOK,APLD,Applied Digital Corp,989384.0,2.22
2026-09-15,BLOK,ARKB,ARK 21Shares Bitcoin ETF,798047.0,1.91
2026-09-15,BLOK,AVGO,Broadcom Inc,56742.0,1.78
2026-09-15,BLOK,BBBYW,Neighborhood Intelligence Inc,477928.0,0.03
2026-09-15,BLOK,BKKT,Bakkt Inc,883872.0,0.67
2026-09-15,BLOK,BLK,Blackrock Inc,23522.0,2.29
2026-09-15,BLOK,BR,Broadridge Financial Solutions Inc,77647.0,1.23
2026-09-15,BLOK,BTC,Grayscale Bitcoin Mini Trust ETF,596302.0,1.9
2026-09-15,BLOK,BTGO,Bitgo Holdings Inc,1864667.0,1.34
2026-09-15,BLOK,BULL,Webull Corp,2564633.0,2.11
2026-09-15,BLOK,CASH&OTHER,Cash & Other,158110.0,0.01
2026-09-15,BLOK,CIFR,Cipher Digital Inc,2420783.0,3.45
2026-09-15,BLOK,CLSK,Cleanspark Inc,2452096.0,2.97
2026-09-15,BLOK,CME,CME Group Inc,56215.0,1.44
2026-09-15,BLOK,COIN,Coinbase Global Inc,170037.0,2.97
2026-09-15,BLOK,CORZ,Core Scientific Inc,1496805.0,2.31
2026-09-15,BLOK,CRCL,Circle Internet Group Inc,192549.0,1.71
2026-09-15,BLOK,CUBI,Customers Bancorp Inc,276656.0,1.99
2026-09-15,BLOK,DBS SP,DBS Group Holdings Ltd,298443.0,1.66
2026-09-15,BLOK,DELL,Dell Technologies Inc,60725.0,2.96
2026-09-15,BLOK,ETH,Grayscale Ethereum Staking Mini ETF,479901.0,1.06
2026-09-15,BLOK,ETOR,Etoro Group Ltd,581220.0,1.58
2026-09-15,BLOK,EXOD,Exodus Movement Inc,311261.0,0.18
2026-09-15,BLOK,FIGR,Figure Technology Solutions Inc,1410067.0,4.58
2026-09-15,BLOK,GLXY,Galaxy Digital Inc,1693205.0,3.72
2026-09-15,BLOK,GPGI,GPGI Inc,631004.0,0.75
2026-09-15,BLOK,HIVE,Hive Digital Technologies Ltd,2269498.0,0.62
2026-09-15,BLOK,HODL,VanEck Bitcoin ETF/US,988952.0,2.01
2026-09-15,BLOK,HOOD,Robinhood Markets Inc,410378.0,4.28
2026-09-15,BLOK,HUT,HUT 8 CORP,431309.0,3.58
2026-09-15,BLOK,IBM,International Business Machines Corp,113519.0,2.58
2026-09-15,BLOK,IREN,IREN Ltd,205343.0,0.81
2026-09-15,BLOK,MA,Mastercard Inc,15085.0,0.79
2026-09-15,BLOK,MELI,MercadoLibre Inc,9928.0,1.72
2026-09-15,BLOK,MSTR,Strategy Inc,108268.0,1.35
2026-09-15,BLOK,NU,NU Holdings Ltd/Cayman Islands,2159177.0,2.84
2026-09-15,BLOK,NVDA,NVIDIA Corp,91741.0,1.76
2026-09-15,BLOK,NXH,Neighborhood Intelligence Inc,6747734.0,2.22
2026-09-15,BLOK,OPRA,Opera Ltd,1907115.0,3.2
2026-09-15,BLOK,ORIO,Orion Digital Corp,523971.0,0.05
2026-09-15,BLOK,PURR,Hyperliquid Strategies Inc,628074.0,0.68
2026-09-15,BLOK,PYPL,PayPal Holdings Inc,392417.0,1.93
2026-09-15,BLOK,RIOT,Riot Platforms Inc,750388.0,1.43
2026-09-15,BLOK,SBET,SHARPLINK INC,1840050.0,1.53
2026-09-15,BLOK,SGD,SINGAPORE DOLLAR,248008.0,0.02
2026-09-15,BLOK,SRGE CN,Surge Digital Inc,664441.0,0.01
2026-09-15,BLOK,TSM,Taiwan Semiconductor Manufacturing Co Ltd,46844.0,1.79
2026-09-15,BLOK,V,Visa Inc,22094.0,0.76
2026-09-15,BLOK,WT,WisdomTree Inc,899133.0,1.87
2026-09-15,BLOK,WULF,Terawulf Inc,2352313.0,3.32
2026-09-15,BLOK,XYZ,Block Inc,336900.0,2.44
